index n prob solutions iterations time(s)
1 2 0.125 1 3 0.000022
2 2 0.25 1 3 0.000007
3 2 0.5 1 3 0.000006
4 2 0.75 1 3 0.000006
5 3 0.75 2 7 0.000017
6 4 0.5 3 15 0.000040
7 4 0.75 7 15 0.000041
8 5 0.5 3 31 0.000115
9 5 0.75 3 31 0.000116
10 6 0.5 2 63 0.000380
11 6 0.75 1 63 0.000440
12 7 0.5 1 127 0.001164
13 7 0.75 5 127 0.001317
14 8 0.25 10 255 0.003127
15 8 0.5 1 255 0.003826
16 8 0.75 1 255 0.004418
17 9 0.25 8 511 0.009262
18 9 0.5 1 511 0.011871
19 9 0.75 1 511 0.013451
20 10 0.25 5 1023 0.026825
21 10 0.5 1 1023 0.034615
22 10 0.75 1 1023 0.038947
23 11 0.25 2 2047 0.079323
24 11 0.5 1 2047 0.106474
25 11 0.75 1 2047 0.128153
26 12 0.25 4 4095 0.252029
27 12 0.5 1 4095 0.325003
28 12 0.75 1 4095 0.415090
29 13 0.25 2 8191 0.841435
30 13 0.5 2 8191 1.006962
31 13 0.75 2 8191 1.187735
32 14 0.25 3 16383 2.712213
33 14 0.5 1 16383 3.410617
34 14 0.75 3 16383 3.678074
35 15 0.25 4 32767 9.822078
36 15 0.5 1 32767 10.936123
37 15 0.75 2 32767 11.657977
38 16 0.125 21 65535 33.511285
39 16 0.25 7 65535 44.491224
40 16 0.5 1 65535 45.552600
41 16 0.75 1 65535 40.240575
42 17 0.125 16 131071 132.036223
43 17 0.25 3 131071 135.718364
44 17 0.5 3 131071 146.621935
45 17 0.75 2 131071 146.015519
