index n prob solutions iterations time(s)
1 2 0.125 1 1 0.000010
2 2 0.25 1 1 0.000004
3 2 0.5 1 1 0.000003
4 2 0.75 1 1 0.000003
5 3 0.75 1 1 0.000003
6 4 0.5 1 1 0.000004
7 4 0.75 1 1 0.000003
8 5 0.5 1 1 0.000004
9 5 0.75 1 1 0.000003
10 6 0.5 1 1 0.000004
11 6 0.75 1 1 0.000004
12 7 0.5 1 1 0.000005
13 7 0.75 1 1 0.000004
14 8 0.25 1 1 0.000005
15 8 0.5 1 1 0.000004
16 8 0.75 1 1 0.000005
17 9 0.25 1 1 0.000005
18 9 0.5 1 1 0.000005
19 9 0.75 1 1 0.000005
20 10 0.25 1 1 0.000005
21 10 0.5 1 1 0.000005
22 10 0.75 1 1 0.000006
23 11 0.25 1 1 0.000006
24 11 0.5 1 1 0.000006
25 11 0.75 1 1 0.000005
26 12 0.25 1 1 0.000006
27 12 0.5 1 1 0.000006
28 12 0.75 1 1 0.000006
29 13 0.25 1 1 0.000006
30 13 0.5 1 1 0.000006
31 13 0.75 1 1 0.000007
32 14 0.25 1 1 0.000007
33 14 0.5 1 1 0.000007
34 14 0.75 1 1 0.000007
35 15 0.25 1 1 0.000008
36 15 0.5 1 1 0.000007
37 15 0.75 1 1 0.000007
38 16 0.125 1 1 0.000007
39 16 0.25 1 1 0.000007
40 16 0.5 1 1 0.000007
41 16 0.75 1 1 0.000008
42 17 0.125 1 1 0.000008
43 17 0.25 1 1 0.000007
44 17 0.5 1 1 0.000007
45 17 0.75 1 1 0.000007
