n min_cut solutions iterations time(s) index
4 1 1 2 0.000098 1
4 2 1 2 0.000078 2
5 2 1 3 0.000093 3
5 4 1 3 0.000110 4
6 2 1 4 0.000123 5
6 5 1 4 0.000170 6
7 2 2 8 0.000363 7
7 3 2 8 0.000407 8
8 1 2 10 0.000296 9
8 3 2 10 0.000544 10
8 4 2 10 0.000654 11
9 0 4 18 0.000607 12
9 3 4 18 0.000972 13
9 6 4 18 0.001537 14
10 1 4 22 0.000830 15
10 4 4 22 0.001304 16
10 5 4 22 0.002043 17
11 1 4 23 0.000834 18
11 6 4 23 0.001696 19
11 5 4 23 0.002639 20
12 2 8 39 0.001730 21
12 3 8 39 0.003488 22
12 7 8 39 0.005373 23
13 1 8 47 0.002270 24
13 3 8 47 0.004753 25
13 8 8 47 0.014747 26
14 2 8 48 0.002338 27
14 4 8 48 0.004875 28
14 6 8 48 0.008647 29
15 1 8 50 0.002677 30
15 5 8 50 0.006543 31
15 9 8 50 0.011481 32
16 0 16 82 0.003416 33
16 1 16 82 0.005187 34
16 4 16 82 0.013187 35
16 9 16 82 0.019833 36
17 1 16 98 0.004253 37
17 1 16 98 0.006680 38
17 5 16 98 0.022061 39
17 10 16 98 0.032159 40
18 0 16 83 0.004224 41
18 1 16 99 0.006443 42
18 6 16 99 0.017371 43
18 10 16 99 0.042186 44
19 1 16 101 0.004442 45
19 3 16 101 0.013420 46
19 5 16 101 0.024988 47
19 12 16 101 0.070459 48
20 1 16 105 0.011508 49
20 3 16 105 0.009819 50
20 7 16 105 0.023958 51
20 12 16 105 0.060061 52
21 1 16 106 0.005074 53
21 2 16 106 0.010923 54
21 6 16 106 0.028752 55
21 12 16 106 0.061781 56
22 1 32 170 0.009864 57
22 2 32 170 0.019799 58
22 7 32 170 0.058490 59
22 13 32 170 0.099306 60
23 1 32 202 0.012634 61
23 2 32 202 0.024328 62
23 7 32 202 0.063220 63
23 12 32 202 0.231750 64
24 1 32 203 0.012076 65
24 2 32 203 0.028177 66
24 8 32 203 0.081263 67
24 13 32 203 0.186858 68
25 1 32 205 0.019266 69
25 3 32 205 0.033143 70
25 6 32 205 0.077985 71
25 14 32 205 0.155998 72
26 1 32 209 0.014680 73
26 4 32 209 0.033817 74
26 9 32 209 0.102643 75
26 15 32 209 0.217195 76
27 1 32 217 0.014923 77
27 2 32 217 0.036609 78
27 7 32 217 0.121042 79
27 16 32 217 0.247440 80
28 2 32 218 0.016460 81
28 3 32 218 0.039759 82
28 8 32 218 0.135356 83
28 15 32 218 0.298782 84
29 2 32 220 0.025836 85
29 4 32 220 0.047995 86
29 11 32 220 0.168899 87
29 17 32 220 0.319502 88
30 1 64 348 0.029517 89
30 2 64 348 0.079973 90
30 9 64 348 0.239026 91
30 17 64 348 0.500662 92
31 0 64 349 0.031428 93
31 4 64 349 0.086653 94
31 9 64 349 0.237036 95
31 17 64 349 0.613986 96
32 1 64 413 0.043242 97
32 3 64 413 0.118668 98
32 11 64 413 0.389595 99
32 18 64 413 0.714359 100
33 2 64 415 0.054914 101
33 3 64 415 0.134662 102
33 10 64 415 0.469208 103
33 19 64 415 0.994604 104
34 2 64 419 0.056053 105
34 4 64 419 0.132471 106
34 9 64 419 0.431408 107
34 21 64 419 0.999493 108
35 1 64 420 0.055446 109
35 2 64 420 0.127748 110
35 12 64 420 0.488881 111
35 18 64 420 1.046103 112
36 2 64 428 0.059936 113
36 5 64 428 0.177360 114
36 12 64 428 0.554788 115
36 22 64 428 1.075564 116
37 2 64 444 0.058649 117
37 3 64 444 0.207558 118
37 10 64 444 0.649722 119
37 22 64 444 1.287036 120
38 1 64 445 0.066738 121
38 3 64 445 0.189852 122
38 12 64 445 0.722346 123
38 20 64 445 1.499799 124
39 1 64 447 0.071909 125
39 4 64 447 0.181846 126
39 15 64 447 0.809878 127
39 24 64 447 1.510010 128
40 2 64 451 0.075230 129
40 5 64 451 0.269109 130
40 15 64 451 0.991302 131
40 21 64 451 1.834928 132
41 1 64 452 0.076396 133
41 4 64 452 0.233340 134
41 13 64 452 1.541728 135
41 27 64 452 2.682518 136
42 2 128 708 0.176814 137
42 5 128 708 0.398290 138
42 12 128 708 1.466458 139
42 24 128 708 3.522917 140
43 2 128 710 0.179080 141
43 6 128 710 0.429926 142
43 16 128 710 1.503622 143
43 27 128 710 3.667776 144
44 2 128 838 0.176467 145
44 6 128 838 0.664305 146
44 14 128 838 1.664665 147
44 29 128 838 4.542735 148
45 2 128 839 0.178382 149
45 5 128 839 0.535078 150
45 15 128 839 1.987038 151
45 30 128 839 4.995829 152
46 2 128 843 0.203035 153
46 5 128 843 0.491715 154
46 17 128 843 2.084812 155
46 30 128 843 5.054780 156
47 2 128 851 0.194601 157
47 6 128 851 0.624345 158
47 18 128 851 2.737319 159
47 31 128 851 5.094898 160
48 2 128 852 0.203897 161
48 5 128 852 0.542125 162
48 16 128 852 2.155146 163
48 28 128 852 6.247257 164
49 3 128 854 0.247507 165
49 6 128 854 0.669396 166
49 16 128 854 2.549038 167
49 29 128 854 6.359643 168
